year,team,head_coach,offensive_coordinator,offensive_playcaller,prev_hc_team,prev_oc_team,hc_playcaller,oc_playcaller,hired,oc_hired
2024,LAC,Jim Harbaugh,Greg Roman,Greg Roman,Michigan,BAL,false,true,2024,2024
2024,LAR,Sean McVay,Mike LaFleur,Sean McVay,WAS,NYJ,true,false,2017,2023
2024,LV,Antonio Pierce,Luke Getsy,Luke Getsy,LV,CHI,false,true,2023,2024
2024,MIA,Mike McDaniel,Frank Smith,Mike McDaniel,SF,LAC,true,false,2022,2022
2024,MIN,Kevin O'Connell,Wes Phillips,Kevin O'Connell,LAR,LAR,true,false,2022,2022
2024,NE,Jerod Mayo,Alex Van Pelt,Alex Van Pelt,NE,CLE,false,true,2024,2024
2024,NO,Dennis Allen,Klint Kubiak,Klint Kubiak,NO,SF,false,true,2022,2024
2024,NYG,Brian Daboll,Mike Kafka,Brian Daboll,BUF,KC,true,false,2022,2022
2024,NYJ,Robert Saleh,Nathaniel Hackett,Nathaniel Hackett,SF,DEN,false,true,2021,2023
2024,PHI,Nick Sirianni,Kellen Moore,Kellen Moore,IND,LAC,false,true,2021,2024
2024,PIT,Mike Tomlin,Arthur Smith,Arthur Smith,MIN,ATL,false,true,2007,2024
2024,SEA,Mike Macdonald,Ryan Grubb,Ryan Grubb,BAL,Washington,false,true,2024,2024
2024,SF,Kyle Shanahan,NONE,Kyle Shanahan,ATL,,true,false,2017,
2024,TB,Todd Bowles,Liam Coen,Liam Coen,TB,Kentucky,false,true,2022,2024
2024,TEN,Brian Callahan,Nick Holz,Brian Callahan,CIN,JAX,true,false,2024,2024
2024,WAS,Dan Quinn,Kliff Kingsbury,Kliff Kingsbury,DAL,USC,false,true,2024,2024
