Player,ADP,Rank,August 15 ADP,Rank,Diff
Tyler Kroft,216,TE 60,,,
Anthony Firkser,216,TE 58,216,TE 57,0
Malcolm Perry,216,WR 143,216,WR 135,0
Jordan Love,216,QB 44,216,QB 45,0
Isaiah Coulter,216,WR 144,,,
Ricky Seals-Jones,216,TE 62,216,TE 55,0
Lil'Jordan Humphrey,216,WR 146,,,
Isaiah McKenzie,216,WR 145,,,
Hakeem Butler,216,WR 147,216,WR 132,0
DaeSean Hamilton,216,WR 148,,,
Robert Griffin,216,QB 45,216,QB 46,0
Marcus Mariota,216,QB 46,215.9,QB 39,-0.1
Devontae Booker,216,RB 113,,,
Jeremy Sprinkle,216,TE 63,216,TE 54,0
Cody Latimer,216,WR 149,,,
Jonathan Williams,216,RB 114,,,
Jacob Hollister,216,TE 64,216,TE 60,0
Patrick Ricard,216,RB 115,,,
Elijah Holyfield,216,WR 151,,,
Deonte Harris,216,WR 150,,,
Blake Bell,216,TE 65,,,
Khadarel Hodge,216,WR 152,,,
Jordan Wilkins,216,RB 116,,,
