"Player","Team","Pos","Rank","ADP","Diff","2023 Finish","2022 Finish","Id"
"Deebo Samuel","49ers","WR","22","16.8","-0.31","10","56","bc1959be-6b30-4eca-be97-0f2e5b97eb9a"
"Davante Adams","Raiders","WR","23","23.6","0.03","33","7","6591b1cf-50ee-4c6d-964c-2b26ad46bfde"
"Malik Nabers","Giants","WR","24","24.5","0.02","","","12dc1620-9e6e-4ea6-81db-325a12cf154c"
"Drake London","Falcons","WR","25","15.8","-0.58","98","114","56c751bc-45b5-4984-b916-8a9b1cbc056e"
"Marvin Harrison","Cardinals","WR","26","13.1","-0.98","","","ffadf9c7-84c5-4cbd-882c-08ac77e4ceff"
"Jalen Hurts","Eagles","QB","27","40.6","0.33","38","11","5e0c0398-4cff-4185-9805-3d5b56cb929b"
"Chris Olave","Saints","WR","28","21.5","-0.3","58","76","333093b5-7ef3-49ae-a736-93217e79f666"
"Mike Evans","Bucs","WR","29","27.1","-0.07","12","42","8da0dbe1-4d06-45f3-830a-2112443c2466"
"DK Metcalf","Seahawks","WR","30","29.2","-0.03","41","38","2704e8d7-a534-4bef-9e3d-6d12ff738205"
"DeVonta Smith","Eagles","WR","31","27.7","-0.12","48","36","c0c23fc3-862e-481f-824b-04ee87c01392"
"Derrick Henry","Ravens","RB","32","29.5","-0.08","23","4","2e8f2806-a076-496d-b610-30c5a9db0098"
"Travis Etienne Jr.","Jaguars","RB","33","40.7","0.19","11","48","a9ad9af2-611c-4c9b-9e07-687f619a55ce"
"Patrick Mahomes","Chiefs","QB","34","41.9","0.19","130","16","1028d0c1-94d4-463f-9a3d-3c0bebb060db"
"Josh Allen","Bills","QB","35","37.3","0.06","25","14","66b13037-5e4c-4b36-a7e7-398cbace2e58"
"Lamar Jackson","Ravens","QB","36","48.2","0.25","43","45","f258ff18-d5fd-4dce-af9a-958900eecf52"
"Amari Cooper","Browns","WR","37","43.4","0.15","27","33","2426f790-2c33-4a1d-9074-0a2975affc5d"
"Tee Higgins","Bengals","WR","38","43.3","0.12","62","37","d27b174c-ed7e-4138-a2c7-ab3fcd3575b3"
"Tank Dell","Texans","WR","39","34.8","-0.12","22","","2df22d1e-e053-42dd-9c5e-480d1196ff25"
"DJ Moore","Bears","WR","40","30.4","-0.32","16","57","f68af97f-836c-472d-8ad2-8b87a19ec178"
"Sam LaPorta","Lions","TE","41","38.3","-0.07","47","","686108bb-239b-4273-a28a-69b9571cc03d"
"Isiah Pacheco","Chiefs","RB","42","32.2","-0.3","29","116","951c3ab5-1b70-43de-a537-16376027a240"
"George Pickens","Steelers","WR","43","48","0.1","57","108","0c410b1a-19f9-415f-ae96-11dc81d258dc"
"Travis Kelce","Chiefs","TE","44","39.2","-0.12","56","13","18a2678b-805b-4ec2-8489-0e677735311b"
"Trey McBride","Cardinals","TE","45","46","0.02","111","212","eb7bc4df-1285-4d03-94d4-bf9ab58eea87"
"Xavier Worthy","Chiefs","WR","46","54.5","0.16","","","f1af93fd-af0e-4380-8ae4-519f04a8673c"
"Rashee Rice","Chiefs","WR","47","41.6","-0.13","80","","d763e0dc-b773-483d-be2a-a49c5ee0046d"
"Stefon Diggs","Texans","WR","48","34.6","-0.39","32","12","aeec05d9-8fa4-4b9a-a85d-4611dbb12d5f"
"Rachaad White","Bucs","RB","49","61.5","0.2","24","143","140a874a-e16b-4b51-9640-01797a14e4a1"
"Joe Mixon","Texans","RB","50","63.5","0.21","35","21","012a73f3-7fe2-427d-89d5-2ddc0fb366e6"
"C.J. Stroud","Texans","QB","51","70.3","0.27","90","","d1f113bc-e984-499b-a386-2c38ef7a25d0"
"Dalton Kincaid","Bills","TE","52","52.2","0","149","","5fd1a37f-4c31-4cc1-82b5-ce980d353aaa"
"Mark Andrews","Ravens","TE","53","50.2","-0.06","61","64","b73379fb-c0bf-4624-bb87-5b9daf7ae1ed"
"Terry McLaurin","Commanders","WR","54","50","-0.08","88","65","84b4c137-2193-4e4b-b3de-a74f2eed2ad3"
"Zay Flowers","Ravens","WR","55","40","-0.38","74","","0f1d4122-0410-4a08-8ec5-564ad56b8d8c"
"Michael Pittman Jr.","Colts","WR","56","37","-0.51","42","75","0c4fb388-7ebc-4e40-947f-90ba2e7f60a3"
"Anthony Richardson","Colts","QB","57","58.3","0.02","77","","e5c2cbd7-65b7-41a9-b81d-a6e1313571fd"
"James Cook","Bills","RB","58","54","-0.07","37","195","d7025fba-a9fc-4295-8a27-b194556a90f9"
"Brian Thomas","Jaguars","WR","59","71.6","0.18","","","e596066b-2a14-4ac2-9b2c-84422febdf32"
"Kyle Pitts","Falcons","TE","60","61.3","0.02","165","186","4ffdccda-f8a4-4ec4-90a6-0ddf19626a93"
"David Montgomery","Lions","RB","61","69.9","0.13","19","69","1bbd25be-df0b-43c5-a027-2ff0bc886805"
"Kenneth Walker III","Seahawks","RB","62","62.2","0","36","27","03fcdf1b-3181-4dc9-9891-5f8db430037f"
"Kyler Murray","Cardinals","QB","63","72.7","0.13","129","87","bf247202-99b8-442a-9164-7e7b88e3c39c"
"Diontae Johnson","Panthers","WR","64","68.5","0.07","101","210","b7b1f316-40a7-4784-a8d1-f972b0dd394f"
"Hollywood Brown","Chiefs","WR","65","72","0.1","118","78","905c091a-69b0-4c46-9f4a-0887d6485aaf"
"Rome Odunze","Bears","WR","66","63.2","-0.04","","","144f1a02-d422-4d10-ba5e-349a5daae34b"
"Jaxon Smith-Njigba","Seahawks","WR","67","74.8","0.1","166","","71aa400e-7eab-465e-bf0a-1c1f7f407306"
"Najee Harris","Steelers","RB","68","79.7","0.15","83","53","fa6d275b-9843-4a2a-a13f-17b2a6421118"
"James Conner","Cardinals","RB","69","75.6","0.09","30","25","94b09be0-23a5-46fd-9484-7aa994983d13"
"Raheem Mostert","Dolphins","RB","70","87.9","0.2","6","84","313f9102-552e-42bb-9de8-8cdd09f9f400"
"Alvin Kamara","Saints","RB","71","72.4","0.02","15","40","8efa33b9-1203-4a58-82f7-2b1104491e97"
"David Njoku","Browns","TE","72","100","0.28","82","117","3346891b-8250-442e-be54-4ffc467140f0"
"George Kittle","49ers","TE","73","64.9","-0.12","49","51","0d22526b-00d4-4f61-9c71-7540cd373543"
"Chris Godwin","Bucs","WR","74","62.8","-0.18","110","66","19f1f476-acd6-4dbd-ac1c-7c4a920bf479"
"Calvin Ridley","Titans","WR","75","56.1","-0.34","54","","cc6cf04a-9ebb-4f4d-9d39-cc637b2da612"
"Keenan Allen","Bears","WR","76","60","-0.27","7","31","079b90e6-3ce0-4952-88a6-8e2a3003d6fe"
"Christian Kirk","Jaguars","WR","77","53.4","-0.44","86","34","3641f3d1-3ff6-4d44-91db-47834e41227b"
