"Player","Team","Pos","Rank","ADP","Diff","2023 Finish","2022 Finish","Id"
"Jordan Mason","49ers","RB","130","184.2","0.29","248","","12d3481b-b7f6-4d82-baa4-3305e68d386d"
"Austin Ekeler","Commanders","RB","131","131.4","0","45","2","7e7c2085-c78c-4d08-b286-0fe4e199a8b0"
"Jakobi Meyers","Raiders","WR","132","117.7","-0.12","65","79","bd442576-a4ed-474b-9dbd-941891275718"
"Tyler Lockett","Seahawks","WR","133","115.1","-0.16","94","43","d29d0594-1f4b-4108-8592-046e49e5257f"
"Jared Goff","Lions","QB","134","124.6","-0.08","126","95","1c0b3cb2-0f1f-4404-af12-058599ce167f"
"Justin Herbert","Chargers","QB","135","140.5","0.04","76","144","639efdda-8c57-4da3-83d2-30f2471bfc02"
"Geno Smith","Seahawks","QB","136","169.5","0.2","144","111","edb873b8-24e4-46c7-a82e-01efdedd9ff3"
"Darnell Mooney","Falcons","WR","137","136.4","0","226","171","4d0feb32-2c3d-4ba3-97a5-3255e2d8afd2"
"Andrei Iosivas","Bengals","WR","138","189.7","0.27","334","","63eec11c-1dd4-4fc1-9d4c-518113126176"
"Xavier Legette","Panthers","WR","139","152","0.09","","","781c6385-c420-4a04-a546-e7244b0f421d"
"Pat Freiermuth","Steelers","TE","140","130.2","-0.08","169","177","9461990e-fcb5-461a-aef0-cd430b33a1c8"
"Ty Chandler","Vikings","RB","141","138.5","-0.02","152","350","05ae34fa-4c89-4171-aec5-3a9cf44970be"
"Gus Edwards","Chargers","RB","142","119.9","-0.18","52","163","2642260c-f775-4263-977c-4584914f0418"
"MarShawn Lloyd","Packers","RB","143","172.9","0.17","","","ba62ae9e-6556-4eec-abd8-24061cbc3b64"
"Ray Davis","Bills","RB","144","154.9","0.07","","","7add997e-ddf5-4dd6-b818-4747a6c23448"
"Sam Darnold","Vikings","QB","145","184.1","0.21","","173","1507292b-ae32-4d4c-b453-630ba7b1de42"
"Dalton Schultz","Texans","TE","146","133.9","-0.09","108","85","d79e99d3-9a96-438e-a237-b5a1f6309909"
"Luke Musgrave","Packers","TE","147","150.2","0.02","238","","6835cc77-2259-460a-96d2-4593cac34fe4"
"Hunter Henry","Patriots","TE","148","162.3","0.09","114","234","7d9fe5a5-046a-497a-9edd-cd0fe22704e7"
"Josh Downs","Colts","WR","149","147.6","-0.01","146","","eb04ead7-a136-4dfd-9bc0-36062253808f"
"Demarcus Robinson","Rams","WR","150","175.5","0.15","135","228","156f87f5-8039-4e08-b878-f03c220c2923"
"Kimani Vidal","Chargers","RB","151","190.6","0.21","","","4f2cd96c-93ab-4556-b181-a9d5148a5547"
"Samaje Perine","Broncos","RB","152","215.9","0.3","207","","cd52e459-87a8-465f-b612-a51359fa9c19"
"Tyler Conklin","Jets","TE","153","167.5","0.09","263","178","c1bf2279-8822-483c-a471-eca605165780"
"Noah Fant","Seahawks","TE","154","166.1","0.07","324","249","8f7f70cb-d238-4263-a283-67fa1e0d8e88"
"Deshaun Watson","Browns","QB","155","155.6","0","171","","5a586c9b-29bb-4966-822f-20cbf961d487"
"T.J. Hockenson","Vikings","TE","156","141.3","-0.1","70","67","83050f3b-3f33-4e5b-ad16-b0a82eefdcbb"
"Juwan Johnson","Saints","TE","157","195.8","0.2","132","126","8e8ab6f3-17ee-4fd2-b267-49e1d20b6d12"
"Colby Parkinson","Rams","TE","158","198.2","0.2","288","272","a12d7960-6735-4cd5-a17b-a6fd9011f9ca"
"J.K. Dobbins","Chargers","RB","159","144","-0.1","","","a3694f7f-d96e-4a5c-9965-f877c14cf007"
"Audric Estime","Broncos","RB","160","205.1","0.22","","","fc3f376b-6891-4be4-be49-125ac078306d"
"Jaleel McLaughlin","Broncos","RB","161","153","-0.05","161","","5f0c0506-0633-48ed-82c8-84e8ccca391b"
"Khalil Herbert","Bears","RB","162","170.1","0.05","89","86","b281e42f-9b24-4361-96c1-7ef192f20315"
"Bucky Irving","Bucs","RB","163","165","0.01","","","2cbcf238-c3f6-456f-966a-8c89943c11f2"
"Ezekiel Elliott","Cowboys","RB","164","132","-0.24","116","59","3a7f32f4-cdb6-4be0-a1b5-6c216802dc4c"
"Josh Reynolds","Broncos","WR","165","215.2","0.23","139","122","d2247d86-c874-48e7-a4c7-b82e26cd5c18"
"Michael Wilson","Cardinals","WR","166","147.7","-0.12","133","","56346159-6e3e-4ec5-ab5b-4fa6e70a4aa9"
"Rashod Bateman","Ravens","WR","167","164.5","-0.02","300","103","b934b6d1-f3f7-4e85-9093-61752570be82"
"Aaron Rodgers","Jets","QB","168","157.8","-0.06","","318","7e343d94-5993-4398-b8e1-d251ce8cddf6"
"Tyrone Tracy","Giants","RB","169","185.4","0.09","","","df951d37-812b-402b-8bf0-41a39a47f49a"
"Tank Bigsby","Jaguars","RB","170","195.4","0.13","350","","d5eb08a8-9cfd-4355-8ef8-68520f7ddcc2"
"Jaylen Wright","Dolphins","RB","171","145","-0.18","","","ffffe221-e468-4aa4-a89c-814ff9d84e24"
"Braelon Allen","Jets","RB","172","161.3","-0.07","","","f55e4b60-80f9-4a44-bc29-a1e8af4d1396"
"Kirk Cousins","Falcons","QB","173","142.4","-0.21","93","98","28d325d3-3f66-4334-8c97-7e886cbb0218"
"Daniel Jones","Giants","QB","174","197.9","0.12","124","94","a9621925-0793-4d79-ad41-0f568611b6b5"
"Baker Mayfield","Bucs","QB","175","164.2","-0.07","151","319","3d994e25-98b0-4fe4-8e43-45caa3b05889"
"Bo Nix","Broncos","QB","176","186","0.05","","","8f16025a-ffe0-4efa-836e-b71ae20db9e9"
"Will Levis","Titans","QB","177","175.9","-0.01","185","","1dab82ca-7aea-4818-b0e0-b56aae0f686f"
"Adam Thielen","Panthers","WR","178","157.2","-0.13","55","137","219e05a7-6e17-4f64-a2ae-2023dd01ecb3"
"Ja'Lynn Polk","Patriots","WR","179","130.7","-0.37","","","0eae9eff-1161-4e23-8038-c359ca6c1410"
