player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,Rank,ADP,Diff,Finish2024,PosRank,fantasyPts,ptsPerSnap,ptsPerTouch
Chris Olave,84355,WR,NO,8,10.6,0,74.4,66.7,6,9,0,3,1,0,22,20,1,80.4,28.6,82.4,39.9,83,0,0,2,39,0.5,1,202,1,45,32,93.1,188,28.2,57,91.2,43,1,70.8,143,400,118,3.7,12.5,2.13,69,67.4,-0.02,98,40,270,0.3,2.67
Rashid Shaheed,63707,WR,NO,6,18.1,0,50,0,0,7,0,0,0,-0.02,12,20,0,83.6,82.6,69.7,,69.2,0,0,4,70,0,0,182,2,46.2,20,94,171,25.3,46,65.5,40,3,74.2,135,349,102,5.1,17.5,2.04,84,105.4,0.2,40,46,,,
AJ Barner,129433,TE,SEA,17,3.6,6,81.1,75,3,4,1,9.1,3,0.02,18,29,0,58,76.5,61,56.8,63.7,48.5,126,1,20,10.8,28,260,5,47.1,30,83.1,216,39.6,103,119,37,4,9.2,24,245,173,5.8,8.2,1.13,201,215.8,0.07,,29,147.3,0.18,2.38
Malik Washington,97108,WR,MIA,14,5.4,2,72.2,42.9,3,7,1,7.1,2,-0.01,13,17,0,64.1,86.2,57.7,64.9,60.8,0.7,2,0,20,0.4,1,270,2,47.9,26,95.6,258,52.2,141,88.1,36,0,47,127,223,123,4.7,8.6,0.86,243,206.7,-0.18,,97,112.7,0.2,1.79
Jahan Dotson,84375,WR,PHI,21,10.4,4,62.9,20,1,5,1,0,0,0.11,15,24,0,84.9,77.2,54.8,,55,0.4,2,0,36,0,0,517,1,46.9,22,94.4,488,32.5,168,96,35,1,67.1,347,269,90,4.1,12.2,0.55,264,215.8,-0.22,268,108,50.2,0.08,2.79
Michael Mayer,122906,TE,LV,11,6.1,4,67.7,25,1,4,0,4.5,1,-0.01,8,23,0,60.5,74.9,57.7,67.1,52.2,60.8,175,0,29,14.2,41,288,2,46,21,80.9,233,31.9,92,79.5,31,0,5.9,17,156,63,3,7.4,0.67,218,215.9,-0.01,,33,73.8,0.16,2.11
Rashee Rice,97605,WR,KC,4,5.2,8,82.8,0,0,1,1,4,1,-0.03,15,16,0,74.2,75.8,85.1,,85.5,0,0,1,44,0,0,99,1,50.5,24,91.9,91,50.5,50,116.7,29,2,49.5,49,288,185,7.7,12,3.16,53,55.9,0.05,,27,148.1,0.36,2.55
Tyler Higbee,10744,TE,LA,5,3.1,3,80,100,3,3,0,9.1,2,0.04,10,26,0,58.1,74.4,76.4,68.4,79.1,70.5,67,0,23,8.4,8,95,0,48.9,20,90.5,86,9.5,9,135.9,25,3,20,19,178,113,5.7,8.9,2.07,256,215.3,-0.19,,38,71.1,0.19,2.84
Ben Sinnott,122616,TE,WAS,20,4.2,0,100,,0,0,0,0,0,0.16,3,32,0,74.6,68.8,53.2,81,49.1,52.2,71,0,23,12.5,17,136,3,53.2,6,81.6,111,27.2,37,141.7,6,1,10.3,14,51,26,4.3,8.5,0.46,268,215.8,-0.24,,42,28.4,0.08,2.58
Anthony Richardson,124393,QB,IND,11,-11,0,100,,0,0,1,0,0,-0.14,0,14,4,,28.2,62.2,,57.6,0,0,0,-1,0,0,318,4,37,1,0.3,1,0,0,79.2,1,0,0,0,-1,10,10,-1,-1,213,212.4,0,129,33,,,
Patrick Mahomes,11765,QB,KC,19,-1,0,100,,0,0,1,0,0,0.13,0,16,4,,67.6,83.3,,,0,0,0,2,0,0,825,2,51.6,1,0,0,0,0,79.2,1,0,0,0,2,3,3,2,,73,81.2,0.1,114,6,,,
Jared Goff,10635,QB,DET,18,5,0,100,,0,0,0,0,0,0.24,1,11,7,64.7,64.1,78.8,78,88.6,0,0,0,7,0.3,2,653,2,53.7,1,0.5,3,0,0,135.4,1,1,0,0,7,2,2,7,2.33,114,120,0.05,68,16,,,
Bo Nix,97790,QB,DEN,18,2,0,100,100,1,1,1,0,0,0.01,1,10,1,64.7,91.6,78.3,,90.3,0,0,0,2,0,0,714,9,44.2,1,0.3,2,0,0,118.8,1,1,0.1,1,2,0,0,2,1,86,95.6,0.1,99,8,,,
