player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,year,fantasyPts,ptsPerSnap,ptsPerTouch
Darnell Mooney,48236,WR,CHI,16.0,11.8,17.0,64.9,28.6,4.0,14.0,1,3.2,2.0,-0.05,33.0,6,1.0,83.9,47.0,68.7,,67.3,0.0,0.0,2.0,53.0,0.0,0.0,541.0,2.0,45.8,61.0,96.9,524.0,20.5,111.0,89.5,94.0,4.0,78.7,426.0,631.0,273.0,4.5,10.3,1.2,2020,219.7,0.22,2.53
Darnell Mooney,48236,WR,CHI,16.667,11.533,12.333,61.9,20.0,4.0,18.0,0,4.2,3.333,-0.103,43.667,6,0.333,80.9,71.0,72.7,65.8,72.367,0.0,0.0,6.0,60.333,0.133,0.667,614.333,0.667,44.067,74.333,95.1,583.333,35.9,226.333,76.7,120.667,4.0,63.3,383.333,913.667,351.667,4.7,12.1,1.547,2021,101.5,0.16,2.48
Darnell Mooney,48236,WR,CHI,14.0,12.143,7.0,65.957,83.3,4.571,11.143,0,3.171,2.0,-0.056,30.143,6,0.143,81.643,75.114,70.7,68.2,70.386,0.0,0.0,3.714,57.857,0.4,1.429,455.857,0.286,42.657,54.714,93.671,428.286,49.957,213.571,85.5,84.857,2.857,48.843,237.429,673.286,247.857,4.471,12.214,1.566,2022,78.9,0.1,2.39
Darnell Mooney,48236,WR,CHI,14.429,11.686,4.571,60.571,18.2,3.143,10.857,1,9.3,3.714,-0.081,24.143,6,0.0,58.257,78.257,61.986,39.6,64.043,0.343,1.714,4.0,48.571,0.657,3.0,468.714,0.571,42.743,40.714,94.371,443.0,60.886,281.714,68.471,67.143,1.714,37.371,179.143,528.143,210.143,5.343,13.029,1.206,2023,193.2,0.2,3.02
Darnell Mooney,48236,WR,ATL,15.143,12.343,5.571,62.543,39.1,6.429,17.143,0,8.429,4.429,-0.02,36.0,2,0.0,61.171,79.429,67.943,,69.3,0.171,0.857,3.143,47.714,0.314,1.429,511.286,1.429,45.886,51.143,93.657,478.857,50.357,250.857,86.871,81.143,3.429,47.914,251.714,755.571,230.286,4.729,14.443,1.554,2024,82.3,0.11,2.57
Davante Adams,8688,WR,GB,14.0,10.0,14.0,68.5,45.5,10.0,22.0,0,6.3,5.0,0.04,45.0,12,0.0,65.0,81.6,80.5,,79.4,0.4,2.0,1.0,55.0,0.0,0.0,538.0,0.0,46.2,74.0,93.7,504.0,19.1,103.0,120.3,108.0,10.0,80.5,433.0,885.0,345.0,4.7,12.0,1.76,2017,327.6,0.34,2.95
Davante Adams,8688,WR,GB,14.667,11.133,10.667,68.5,30.0,7.333,20.667,0,4.967,5.0,0.087,57.667,12,0.0,78.4,83.4,85.367,,84.8,0.133,0.667,0.333,56.333,0.0,0.0,642.667,1.333,46.333,98.667,93.9,603.333,20.167,130.333,121.167,144.0,12.0,79.567,511.0,1219.0,433.0,4.433,12.333,2.0,2018,212.7,0.31,2.56
Davante Adams,8688,WR,GB,14.286,10.771,7.429,68.5,43.8,7.143,18.0,1,6.871,7.286,0.083,63.0,12,1.143,68.8,53.971,86.871,,87.086,0.057,0.286,1.286,61.286,0.0,0.0,579.429,2.857,45.629,99.429,93.614,542.571,24.243,138.714,112.729,145.143,9.143,75.586,439.571,1262.429,480.429,4.871,12.714,2.349,2019,360.4,0.47,3.13
Davante Adams,8688,WR,GB,15.286,9.643,5.571,74.043,46.2,9.714,22.286,1,3.843,4.429,0.227,75.143,12,1.143,81.757,58.186,90.257,,90.386,0.0,0.0,2.286,58.714,0.0,0.0,581.571,3.143,50.6,120.429,94.286,548.429,29.957,172.857,125.2,162.0,15.286,69.814,407.143,1429.143,592.714,4.957,11.957,2.62,2020,344.3,0.39,2.8
Davante Adams,8688,WR,GB,16.286,9.529,9.571,74.757,50.0,12.429,25.714,1,3.271,4.143,0.214,83.286,12,0.571,86.514,71.871,91.829,,91.971,0.114,0.571,2.857,59.0,0.0,0.0,594.286,2.571,50.157,127.714,94.429,561.286,32.357,192.714,120.543,170.571,13.0,67.429,400.286,1554.429,633.714,4.971,12.171,2.764,2021,335.5,0.32,3.26
