player,player_id,position,team_name_x,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,Rank,ADP,Diff,Finish2024,team_name_y,PosRank,fantasyPts,ptsPerSnap,ptsPerTouch
Ja'Marr Chase,84270,WR,CIN,17,9,24,74.3,41.7,10,24,0,7.3,10,0.12,75,7,0,55.9,85.3,85.8,,84.9,0,0,7,70,0,0,758,1,52.8,127,93.5,709,33.6,255,121.7,171,17,64.6,490,1708,797,6.3,13.4,2.41,1,1.1,0.09,2,CIN,1,315.6,0.32,2.47
Malik Nabers,146759,WR,NYG,15,9.7,18,66.1,46.2,18,39,1,6.8,8,-0.16,55,21,1,71.5,61.8,86.7,,87.1,0,0,2,59,0,0,602,6,41.3,109,92.4,556,27.1,163,96.6,165,7,72.6,437,1204,475,4.4,11,2.17,12,9.3,-0.29,28,NYG,8,57.1,0.26,3.17
Justin Jefferson,61398,WR,MIN,18,12.1,11,68.4,54.8,17,31,1,5.3,6,0.06,64,18,1,79.8,60.9,86.6,,88,0,0,6,97,0,0,711,3,50.2,108,92.3,656,26.7,190,106.3,158,10,71.7,510,1591,496,4.6,14.7,2.43,8,5.8,-0.38,18,MIN,4,201.5,0.21,2.34
Garrett Wilson,97405,WR,NYJ,17,9.4,22,66.4,51.7,15,29,0,5.6,6,-0.01,60,22,2,76.7,32.7,78.9,,79.3,0,0,5,42,0,0,696,5,44.7,101,93.8,653,30.2,210,89.4,152,7,69.1,481,1104,446,4.4,10.9,1.69,36,35.1,-0.03,57,NYJ,16,99.5,0.26,2.76
Drake London,86519,WR,ATL,17,11.2,16,67.1,57.9,22,38,0,4.8,5,-0.02,67,2,0,80.8,83.6,87.8,75.7,90.1,0.2,1,7,39,1.3,8,595,7,47.9,100,92.1,548,39,232,94.1,149,9,60.8,362,1271,328,3.3,12.7,2.32,13,14.9,0.13,34,ATL,9,201.9,0.28,2.97
Amon-Ra St Brown,84470,WR,DET,18,8.3,13,83.1,67.7,21,31,1,1.6,2,0.25,78,11,1,91.2,64,89.3,76.2,90.2,0,0,1,66,0.3,2,618,3,53.7,123,96.6,597,52.6,325,130.3,148,12,46.3,286,1400,468,3.8,11.4,2.35,9,11.2,0.2,9,DET,5,324,0.34,2.7
CeeDee Lamb,61570,WR,DAL,15,8.3,20,69.2,58.1,18,31,0,9.8,11,-0.09,54,9,1,50.3,62.4,77.3,67.1,79.9,0.2,1,6,65,0.2,1,574,7,42.4,101,91.6,526,50.3,289,90.4,146,6,48.1,276,1194,544,5.4,11.8,2.27,2,3.4,0.41,29,DAL,2,200.9,0.27,2.64
Jerry Jeudy,61103,WR,CLV,17,11.3,8,63.4,38.1,8,21,1,10,10,-0.24,57,8,0,48.5,83,73.5,,74.9,0.4,3,2,89,0,0,761,8,40.3,90,93.8,714,35,266,94.5,142,4,64.1,488,1229,391,4.3,13.7,1.72,65,70.7,0.08,55,CLE,36,122.7,0.13,2.41
Courtland Sutton,48164,WR,DEN,18,14,1,61,57.1,20,35,0,11.3,11,0.02,61,10,1,41.8,54.6,75.5,62.4,77,0,0,7,47,0.2,1,651,1,45,86,94.5,615,17.5,114,85.3,141,8,82.3,536,1156,198,2.3,13.4,1.88,45,47.3,0.05,54,DEN,20,217.7,0.22,2.94
DJ Moore,48267,WR,CHI,17,7.3,15,71.5,47.6,10,21,0,3,3,-0.11,43,6,1,82.5,62,73.5,,73.3,0,0,3,44,0,0,728,5,41,98,91.9,669,27.6,201,96.5,137,6,71.6,521,966,596,6.1,9.9,1.44,63,48.8,-0.29,70,CHI,34,168.1,0.17,2.59
Terry McLaurin,48229,WR,WAS,20,13.5,10,70.6,65.8,25,38,0,5,5,0.18,66,32,0,80.2,57.4,82.1,67,84.8,0,0,2,86,0.3,2,717,1,51.9,96,93.6,671,15.3,110,134.5,136,16,84.7,607,1323,422,4.4,13.8,1.97,40,40.3,0.01,23,WAS,19,114.2,0.26,3.01
Davante Adams,8688,WR,NYJ,14,9.1,12,63,50,13,26,0,10.5,10,-0.08,49,22,0,51.1,82.8,75.8,,76.8,0,0,3,71,0,0,558,2,44.4,85,93.5,522,46.4,259,97.9,135,8,53.4,298,1063,468,5.5,12.5,2.04,35,36.6,0.04,27,LA,15,222.9,0.35,3.72
Jaxon Smith-Njigba,129758,WR,SEA,17,9.2,11,75.2,46.2,12,26,1,2,2,0.02,55,29,1,90.7,60.2,81,,83.5,0,0,4,46,0,0,671,3,48.6,100,93.1,625,83.6,561,102.6,133,6,15.6,105,1130,482,4.8,11.3,1.81,49,31.5,-0.56,44,SEA,24,361.9,0.44,2.87
Wan'Dale Robinson,101735,WR,NYG,17,5.1,19,70.5,58.6,17,29,1,7,7,-0.16,36,21,0,64.2,83.2,63.4,67.8,64.6,0.2,1,2,35,0.2,1,622,4,41.4,93,93.1,579,78.1,486,84.1,132,3,21.1,131,699,374,4,7.5,1.21,209,167.8,-0.25,164,NYG,82,217.9,0.22,2.29
Brian Thomas,146760,WR,JAX,17,11.9,9,67.4,50,8,16,0,6.5,6,-0.06,53,15,0,67.7,83.6,82,,83.4,0,0,5,85,0,0,553,4,44,87,94.6,523,28.4,157,109.4,129,10,71.4,395,1282,572,6.6,14.7,2.45,11,12.5,0.12,25,JAX,7,138.8,0.19,2.72
Jakobi Meyers,47468,WR,LV,15,10.7,5,69,66.7,16,24,0,0,0,-0.07,52,23,0,90.9,83.2,77.7,70.7,78.5,0,0,4,43,0.3,2,628,4,44.1,87,93,584,34.1,214,90.9,126,4,65.8,413,1027,298,3.4,11.8,1.76,71,74.6,0.05,69,LV,42,177.8,0.2,2.22
Puka Nacua,100632,WR,LA,13,8.3,23,72.6,35,7,20,0,5.3,5,0.13,53,26,0,72.1,84,92.5,75.5,92.6,2.7,10,1,51,0.8,3,374,2,49,90,93.6,350,29.9,112,105.3,124,3,66.3,248,1131,581,6.5,12.6,3.23,10,11.1,0.1,20,LA,6,377,0.52,2.71
Ladd McConkey,124030,WR,LAC,17,10.7,14,73.4,62.5,15,24,0,6.2,6,0.04,60,27,2,73.6,36.7,84.3,,85,0.5,3,2,86,0,0,554,1,44.3,91,93.7,519,69.3,384,123.3,124,8,30,166,1346,477,5.2,14.8,2.59,23,20.7,-0.11,33,LAC,12,180.9,0.22,2.74
Tyreek Hill,10799,WR,MIA,17,11.9,12,66.9,40,10,25,2,3.6,3,0.05,54,17,0,85.3,84.1,72.7,,77.3,0.2,1,3,80,0,0,584,7,49.5,81,93.7,547,34.6,202,97.1,121,6,64.6,377,959,287,3.5,11.8,1.75,28,26.7,-0.05,78,MIA,13,53.5,0.35,2.55
AJ Brown,48327,WR,PHI,17,12.8,17,66.9,59.4,19,32,0,2.5,2,0.19,63,24,0,89.8,82.1,90.2,,90.9,0,0,3,67,0,0,505,3,48.8,79,94.1,475,17.2,87,116.6,118,9,82.8,418,1242,404,5.1,15.7,2.61,17,18,0.06,37,PHI,10,220.3,0.26,2.82
Keenan Allen,7857,WR,CHI,15,10.1,4,59.8,59.1,13,22,0,10.3,8,-0.07,43,6,1,53.5,49.6,64.4,67.5,68.2,0,0,0,45,0.5,3,598,4,41.2,70,91.3,546,54,323,98.4,117,7,45.7,273,744,241,3.4,10.6,1.36,104,121.5,0.14,66,LAC,52,182.7,0.29,2.26
