player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,year,fantasyPts,ptsPerSnap,ptsPerTouch
Dede Westbrook,11865,WR,JAX,10,12.4,4,54,33.3,5,15,0,10.5,4,0.11,20,15,1,52.5,28.9,62.1,61.2,0,0,1,29,0,0,322,3,47.7,34,95.7,308,11.5,37,73.8,63,1,88.5,285,424,121,3.6,12.5,1.38,2017,177.5,0.22,2.37
Albert Wilson,8943,WR,KC,14,6.6,16,73.3,62.5,5,8,0,6.4,3,0.28,34,16,0,69.2,79.6,73.8,73.6,5,20,0,63,0.5,2,399,0,49.7,44,94.7,378,59.1,236,120.1,60,3,35.3,141,580,326,7.4,13.2,1.53,2017,90.7,0.39,2.67
Trent Taylor,11932,WR,SF,15,6.9,4,72.9,66.7,8,12,0,8.5,4,-0.01,28,28,0,61.2,32.2,68.4,66.6,0,0,3,33,0.5,2,384,2,42.4,43,94.3,362,76.6,294,83.3,59,2,22.1,85,430,190,4.4,10,1.19,2017,53.5,0.17,2.06
JJ Nelson,9592,WR,ARZ,16,19.2,2,49.2,42.1,8,19,0,19.4,7,-0.13,21,1,1,28.3,28.1,59,58.2,0,0,5,46,0,0,386,1,40.7,29,94.3,364,26.4,102,54.9,59,2,73.6,284,508,60,2.1,17.5,1.4,2017,13.4,0.06,1.22
Cole Beasley,7330,WR,DAL,15,7.9,1,63.2,37.5,3,8,0,5.3,2,-0.02,20,9,0,72.7,78.8,59.9,59.3,0.2,1,2,54,0,0,413,0,46.8,36,89.6,370,86.9,359,86.4,57,4,11.9,49,314,116,3.2,8.7,0.85,2017,150.2,0.21,2.31
Chris Godwin,11839,WR,TB,16,13.2,8,63,57.9,11,19,0,5.6,2,0.09,27,30,0,70.5,77.5,81.9,80.3,1.5,4,2,70,0,0,274,0,50.6,34,94.5,259,19.3,53,85.8,54,1,79.2,217,525,173,5.1,15.4,2.03,2017,185.2,0.26,3.14
Bennie Fowler,8914,WR,DEN,16,10.7,2,53.7,41.7,5,12,1,12.1,4,-0.17,18,10,0,47.7,76.8,56,56.8,0,0,5,29,0,0,379,2,39.4,29,94.5,358,69.9,265,53.8,54,3,30.1,114,350,100,3.4,12.1,0.98,2017,41.9,0.11,2.62
Taylor Gabriel,9002,WR,ATL,18,9.5,5,68.6,44.4,4,9,0,2.8,1,0.09,17,2,0,80.4,79.2,63.7,64,0,0,1,40,0,0,381,1,47.2,35,95,362,15.2,58,88.8,51,1,84.8,323,382,232,6.6,10.9,1.06,2017,153.9,0.19,2.02
John Brown,8726,WR,ARZ,10,16.9,0,41.2,35.3,6,17,0,12.5,3,-0.05,15,1,0,38.7,75.2,58,58.8,0,0,2,52,0,0,340,1,41.8,21,91.5,311,45.9,156,64.1,51,3,54.1,184,299,60,2.9,14.2,0.96,2017,143.9,0.19,3.2
Bruce Ellington,8741,WR,HST,11,9.9,3,58,40,4,10,1,9.4,3,0.11,13,13,1,57,33.2,57,55.9,0.5,2,2,35,0,0,364,2,44.5,29,90.1,328,68.1,248,74.6,50,2,29.9,109,330,127,4.4,11.4,1.01,2017,59.6,0.22,1.86
Corey Coleman,10649,WR,CLV,9,14.5,2,46,58.3,7,12,0,14.8,4,-0.17,16,8,0,37.7,75.5,60.4,61.9,0,0,3,44,0.3,1,312,5,36.2,23,93.6,292,7.4,23,54.2,50,2,92.3,288,305,27,1.2,13.3,1.04,2017,12.6,0.1,2.1
Kenny Golladay,11851,WR,DET,11,15.7,4,58.3,42.9,6,14,0,9.7,3,0.03,18,11,0,56.8,76.6,68,68.1,1.3,4,1,54,0.3,1,318,4,47.2,28,90.6,288,24.8,79,104.3,48,3,73.9,235,477,177,6.3,17,1.66,2017,207.1,0.23,2.92
