player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,year,fantasyPts,ptsPerSnap,ptsPerTouch
Justin Jefferson,61398,WR,MIN,18,10.7,11,73,55,22,40,1,4.9,7,0.02,83,18,0,83.1,86,90.2,90.2,0,0,5,64,0,0,777,4,47.6,135,93.8,729,29,225,107.8,185,8,70,544,1856,638,4.7,13.7,2.55,2022,204.2,0.37,2.96
Tyreek Hill,10799,WR,MIA,18,12.6,12,69.6,50,13,26,1,3.8,5,0.09,81,17,1,89.7,67.1,92.1,92,1.1,7,7,64,0,0,614,5,45.3,126,94.3,579,42.3,260,97.8,181,7,54.4,334,1779,524,4.2,14.1,3.07,2022,378.4,0.54,3.03
Davante Adams,8688,WR,LV,17,12.8,16,59.5,44.1,15,34,0,5.7,6,0.02,65,23,1,76.9,59.2,90.1,90.5,0,0,6,60,0.2,1,657,2,44.7,100,94.1,618,30,197,102.2,168,14,69.6,457,1516,502,5,15.2,2.45,2022,265.4,0.28,2.58
CeeDee Lamb,61570,WR,DAL,19,10.3,16,72.5,46.7,14,30,1,5.5,7,0.03,75,9,0,78.9,86,86.2,87,0.3,2,5,46,0,0,678,4,47.5,121,95.3,646,62.7,425,108.5,167,10,36.1,245,1544,555,4.6,12.8,2.39,2022,405.2,0.41,2.72
Stefon Diggs,9579,WR,BUF,18,12.6,15,71.7,46.2,12,26,2,7,9,0.2,78,4,1,69.7,62,89.1,89,0,0,1,53,0,0,695,5,52.4,119,94.7,658,34.2,238,121,166,11,65.8,457,1578,440,3.7,13.3,2.4,2022,273.8,0.29,2.54
AJ Brown,48327,WR,PHI,20,13,20,63.9,46.9,15,32,0,6.5,7,0.08,67,24,2,68.5,34.4,87.7,88.9,0,0,3,78,0,0,702,2,45,101,94.7,665,25.8,181,116.1,158,12,74.1,520,1642,619,6.1,16.3,2.47,2022,293.6,0.29,2.77
Ja'Marr Chase,84270,WR,CIN,15,9.8,18,69,37.5,12,32,0,5.3,6,0.11,69,7,2,79.1,37.9,83.9,85.2,0.1,1,4,60,0,0,692,4,51.2,107,93.1,644,23.7,164,106.5,155,11,75.6,523,1266,509,4.8,11.8,1.97,2022,263,0.3,2.55
DeVonta Smith,61100,WR,PHI,20,10.2,15,71.4,41.9,13,31,0,5.2,6,0.1,64,24,1,79.8,84.7,80.4,81.1,0,0,1,45,0,0,736,2,45.9,110,94.7,697,25,184,113.9,154,8,75,552,1393,561,5.1,12.7,2,2022,229.6,0.22,2.83
DK Metcalf,47864,WR,SEA,18,12.2,7,65.8,51.1,24,47,1,4.8,5,0.01,54,29,2,81.4,32.2,77.7,78.7,0,0,4,54,0,0,653,8,49,100,94,614,16.5,108,95.9,152,8,83.5,545,1184,276,2.8,11.8,1.93,2022,225.4,0.27,3.42
Chris Godwin,11839,WR,TB,16,5.7,11,76,57.1,16,28,0,4.2,5,0,58,30,2,85.9,38.7,75.2,76.4,0.1,1,1,44,0.3,2,682,4,48.3,114,93.8,640,73,498,100.1,150,3,26.7,182,1108,578,5.1,9.7,1.73,2022,207.2,0.23,2.38
Christian Kirk,47546,WR,JAX,19,9.6,8,66,34.8,8,23,0,8.3,9,0.1,62,15,1,65.9,85.2,72.9,75.3,0.3,2,5,49,0.1,1,744,1,49.1,99,95,707,75.5,562,99.8,150,10,23.4,174,1238,431,4.4,12.5,1.75,2022,154.3,0.26,2.66
Diontae Johnson,33441,WR,PIT,17,10.7,13,61,36.4,8,22,1,8.5,8,-0.02,45,25,1,57.6,57.4,69.6,69.9,0,0,6,37,0,0,659,6,45.4,86,93.2,614,13.1,86,61.2,141,0,86.9,573,882,243,2.8,10.3,1.44,2022,152.7,0.26,2.99
Michael Pittman,29049,WR,IND,16,7.7,5,71.2,50,15,30,0,4.8,5,-0.17,51,14,2,81.4,34.3,70.6,70.3,0.1,1,3,28,0,0,674,1,43.1,99,95.3,642,27.2,183,89.8,139,4,72.7,490,925,343,3.5,9.3,1.44,2022,248.2,0.25,2.28
Amon-Ra St Brown,84470,WR,DET,16,6.7,9,76.3,38.5,5,13,0,3.6,4,0.19,68,11,0,88.1,84.9,90.7,90.4,0.4,2,1,49,0.2,1,511,0,48.6,106,94.5,483,59.9,306,111.8,139,6,38.7,198,1161,544,5.1,11,2.4,2022,332.9,0.33,2.71
Garrett Wilson,97405,WR,NYJ,17,11,22,59.7,35.9,14,39,1,2.4,2,-0.14,56,22,1,90.1,28.2,82.7,85.9,1.3,8,1,60,0.3,2,615,5,38.6,83,96.7,595,36.1,222,91.5,139,4,62.6,385,1103,389,4.7,13.3,1.85,2022,217.2,0.22,2.19
Zay Jones,11792,WR,JAX,18,9.6,9,69.3,38.9,7,18,0,7.8,8,0.1,49,15,0,59.4,83.6,66.5,67.1,0,0,4,59,0.4,3,706,0,48.5,95,94.5,667,33.9,239,92.1,137,6,66.1,467,980,327,3.4,10.3,1.47,2022,78.1,0.16,2.3
Mike Evans,8642,WR,TB,16,14.1,7,62.4,64.3,18,28,1,4.6,4,0.04,58,30,0,75.1,82.4,74.2,75.7,0,0,7,63,0,0,729,4,48.7,83,94.4,688,25.9,189,85,133,6,74.1,540,1207,244,2.9,14.5,1.75,2022,282.5,0.33,3.58
Amari Cooper,9437,WR,CLV,17,13.3,7,61.9,55.6,15,27,0,7.1,6,0,61,8,0,67.4,82.1,81.2,83.6,0,0,3,55,0,0,603,5,45.8,78,93.2,562,24.9,150,105.9,126,9,75,452,1160,296,3.8,14.9,2.06,2022,227,0.26,3.15
Tee Higgins,61211,WR,CIN,19,12,9,69.6,57.6,19,33,0,4.4,4,0.13,54,7,0,81.8,82.7,78.4,78.8,0.3,2,3,59,0,0,692,2,51.1,87,94.7,655,17.8,123,110.6,125,8,81.9,567,1177,310,3.6,13.5,1.8,2022,137.6,0.24,3.28
Brandon Aiyuk,84109,WR,SF,20,11,16,68.9,39.1,9,23,0,6.7,6,0.2,53,28,1,70.7,54.5,78.7,79.5,0,0,1,54,0,0,654,3,50.2,84,94.5,618,24.6,161,116.3,122,8,75.4,493,1124,397,4.7,13.4,1.82,2022,251.2,0.31,3.35
Jaylen Waddle,84088,WR,MIA,18,12.7,7,64.5,22.7,5,22,0,10.3,9,0.12,61,17,1,51.1,53.1,82.6,83.5,0,0,2,84,0.2,1,605,1,45.1,78,94,569,25.6,155,119.2,121,8,73.2,443,1400,526,6.7,17.9,2.46,2022,198.6,0.33,2.65
Tyler Lockett,9502,WR,SEA,17,11.1,5,76.9,35.7,5,14,0,3.2,3,0.04,53,29,1,87.7,33.7,77.9,77.7,0.8,5,6,40,0.2,1,604,1,50.8,90,94,568,41.7,252,108.6,117,9,56.8,343,1072,280,3.1,11.9,1.89,2022,198.4,0.24,2.51
Terry McLaurin,48229,WR,WAS,17,13.1,11,67,65.4,17,26,0,3.8,3,-0.07,56,32,0,82.8,52.7,79.9,83,0,0,2,52,0,0,621,2,43.6,77,93.9,583,20.9,130,108.3,115,5,78.9,490,1191,396,5.1,15.5,2.04,2022,203.2,0.22,2.57
Chris Olave,84355,WR,NO,15,14.9,2,63.2,33.3,8,24,2,4,3,0,48,20,2,81.9,27.4,82.5,83,0.2,1,5,53,0,0,450,3,49.2,72,95.8,431,33.8,152,86.3,114,4,66,297,1044,219,3,14.5,2.42,2022,229.3,0.28,2.64
Drake London,86519,WR,ATL,17,11.2,8,63.2,53.8,14,26,1,2.7,2,-0.03,47,2,3,88,23.3,83.2,85.3,0,0,3,40,0,0,439,2,45.3,72,95.4,419,21.6,95,87.1,114,4,78.4,344,866,231,3.2,12,2.07,2022,171.5,0.2,2.49
DJ Moore,48267,WR,CAR,17,14,9,57.8,56.5,13,23,1,4.5,3,-0.13,44,5,0,77.9,82.1,73.9,76.2,0.7,4,5,62,0,0,540,5,37.6,63,94.4,510,27.6,149,86.5,109,7,71.5,386,888,191,3,14.1,1.74,2022,288.5,0.28,2.88
JuJu Smith-Schuster,11817,WR,KC,19,7.1,9,80.7,46.7,7,15,0,3.3,3,0.2,54,16,3,86.8,24.7,70.1,72.1,0,0,3,53,0.3,2,641,3,53.8,88,94.9,608,42.1,270,103.4,109,3,57.9,371,1022,487,5.5,11.6,1.68,2022,61,0.13,2.1
Adam Thielen,8288,WR,MIN,18,10.8,1,68.2,21.1,4,19,0,1.4,1,0,48,18,0,90.4,81.7,65.5,66.3,0,0,3,36,0.5,4,756,1,47.4,73,94,711,33.3,252,95.8,107,6,66.7,504,766,165,2.3,10.5,1.08,2022,229,0.22,2.2
Courtland Sutton,48164,WR,DEN,15,13.3,3,60.4,42.4,14,33,0,8.6,6,-0.11,38,10,0,60.7,81,69.3,69.7,0.2,1,4,51,0,0,576,5,37.8,64,93.2,537,11.3,65,75.6,106,2,88.5,510,829,134,2.1,13,1.54,2022,196.7,0.25,3.33
Gabe Davis,55410,WR,BUF,17,16.8,2,52.8,30.8,8,26,0,11.1,7,0.17,42,4,1,50.4,42.6,66.4,66.5,0.4,3,6,98,0,0,705,3,51.8,56,94.8,668,10.2,72,86.3,106,8,89.4,630,983,150,2.7,17.6,1.47,2022,161.4,0.17,3.51
Deebo Samuel,48274,WR,SF,16,5.1,36,65.1,26.7,4,15,0,6.8,5,0.14,32,28,0,68.4,26.7,74.1,81.6,0.4,2,3,74,1,5,484,1,48.7,69,94.2,456,27.1,131,87.1,106,3,60.1,291,843,659,9.6,12.2,1.85,2022,243.7,0.34,2.51
Joshua Palmer,62979,WR,LAC,17,9.6,6,71.8,50,7,14,0,6.3,5,0.07,41,27,1,71.2,50.1,64.6,65.6,0.1,1,2,50,0.1,1,689,1,46.5,74,96.5,665,25.4,175,95.9,103,3,74.5,513,800,261,3.5,10.8,1.2,2022,108.7,0.21,2.79
Marquise Brown,61568,WR,ARZ,12,11.7,3,65,64.7,11,17,0,4.3,3,-0.15,32,1,1,79.5,47.7,69.2,69.6,0,0,7,47,0,0,523,2,40,67,94.1,492,35,183,66.4,103,3,64.6,338,709,244,3.6,10.6,1.44,2022,134.7,0.17,2.54
Jerry Jeudy,61103,WR,DEN,15,12.1,5,68,27.3,3,11,0,8.1,6,-0.15,42,10,0,62.8,81.5,78.4,77.9,0,0,2,67,0,0,479,1,38.3,68,94.4,452,54.1,259,111.5,100,6,45.9,220,986,417,6.1,14.5,2.18,2022,141.8,0.21,2.63
Allen Lazard,48135,WR,GB,15,12.9,3,61.2,39.1,9,23,0,6.3,4,-0.03,45,12,0,69.7,80.8,69,73.9,3.7,19,5,47,0.2,1,517,4,44,60,94.4,488,37.7,195,85.8,98,6,58.6,303,788,266,4.4,13.1,1.61,2022,60.1,0.09,2.61
Donovan Peoples-Jones,61439,WR,CLV,17,12.9,2,64.2,37.9,11,29,0,4.7,3,-0.03,33,8,1,77.5,61.2,64.9,67.7,0,0,2,42,0.2,1,616,8,44.6,61,93,573,29.9,184,94.1,95,3,70,431,839,195,3.2,13.8,1.46,2022,28.5,0.06,2.19
Cooper Kupp,11824,WR,LA,9,7.5,13,78.9,53.8,7,13,0,1.3,1,-0.12,42,26,2,90.4,53.5,86.3,88.1,0,0,4,75,0.9,3,351,0,46.2,75,96.3,338,55.6,195,105.8,95,6,43.3,152,812,419,5.6,10.8,2.4,2022,162.4,0.23,2.71
Keenan Allen,7857,WR,LAC,11,8.9,1,76.6,41.7,5,12,0,0,0,0.07,43,27,1,91,48,84.4,84.4,0,0,2,46,0.7,3,418,0,47.8,72,96.4,403,64.6,270,107.3,94,4,34.4,144,813,287,4,11.3,2.02,2022,274.9,0.35,2.5
DeAndre Hopkins,7808,WR,ARZ,9,10.7,5,68.8,52.4,11,21,0,1.5,1,-0.16,35,1,2,90.1,25.5,72.9,73.6,0,0,4,33,0,0,388,1,39.2,64,93.3,362,27.3,106,84.4,93,3,72.7,282,717,177,2.8,11.2,1.98,2022,223.6,0.29,2.9
Jakobi Meyers,47468,WR,NE,14,10.2,2,72,56.5,13,23,0,1.5,1,-0.03,38,19,1,90.3,48.3,75.6,75.8,0,0,0,48,0,0,453,3,42.6,67,93.4,423,69.5,315,119.6,93,6,29.6,134,804,242,3.6,12,1.9,2022,214.1,0.24,2.85
Mike Williams,11762,WR,LAC,13,12.7,4,70,57.7,15,26,0,1.6,1,0.09,39,27,0,90,80.6,78.9,79.3,0,0,2,55,0,0,481,0,46.1,63,96.5,464,15,72,107.4,90,4,85,409,895,321,5.1,14.2,1.93,2022,50.2,0.3,2.51
Mack Hollins,11873,WR,LV,17,13.1,5,64,40,6,15,0,6.6,4,-0.02,34,23,0,68.2,80.7,63.8,61.4,0.2,1,3,60,0.6,4,646,7,44.4,57,93.7,605,14.2,92,88.7,89,4,85.6,553,690,206,3.6,12.1,1.14,2022,43.1,0.13,2.39
Marvin Jones,7158,WR,JAX,18,14.6,1,56.8,58.8,10,17,1,10.7,6,0.12,33,15,0,58.1,79.3,59.8,60,0,0,3,37,0.2,1,581,1,49.5,50,95.5,555,13.6,79,77.8,88,4,86.4,502,579,111,2.2,11.6,1.04,2022,8.4,0.05,1.68
KJ Osborn,23503,WR,MIN,18,8.7,6,70.5,38.5,5,13,0,0,0,0.05,33,18,1,90.9,46.6,65.2,65.3,0,0,2,66,0.6,4,665,2,47.6,62,93.5,622,58.2,387,105.8,88,6,41.7,277,670,306,4.9,10.8,1.08,2022,120,0.15,2.5
Brandin Cooks,8655,WR,HST,13,11.9,1,63.6,55.6,10,18,0,9.7,6,-0.14,29,13,0,57.2,80.6,72.3,71.9,0.2,1,4,44,0,0,450,1,37.9,56,94.9,427,24.7,111,80.6,88,3,74.9,337,699,198,3.5,12.5,1.64,2022,171.2,0.21,2.9
Curtis Samuel,11795,WR,WAS,17,6.9,7,73.6,44.4,8,18,0,4.5,3,-0.1,36,32,0,79.6,61,70.5,70.2,0.2,1,2,49,0.2,1,546,1,42.4,64,93.6,511,71.2,389,100.5,87,4,25.3,138,655,293,4.6,10.2,1.28,2022,157.2,0.28,2.28
Tyler Boyd,10689,WR,CIN,19,10.2,3,73.6,66.7,12,18,0,1.5,1,0.13,46,7,0,90.1,81.3,70.2,70.4,0.4,3,5,60,0.6,4,692,0,51.2,64,93.2,645,84.7,586,99.4,87,5,14.9,103,851,260,4.1,13.3,1.32,2022,146.8,0.18,2.13
Marquez Valdes-Scantling,47809,WR,KC,20,15.1,1,56.3,40,6,15,0,9.3,5,0.23,39,16,0,57.3,79.4,64.8,65.6,0.4,3,1,57,0,0,682,2,51.6,49,94.3,643,39.7,271,98.3,87,4,59.8,408,809,167,3.4,16.5,1.26,2022,58.5,0.09,2.79
Parris Campbell,47940,WR,IND,17,6.5,13,74.1,33.3,4,12,0,4.5,3,-0.15,32,14,1,71.3,81.3,60.8,61.2,0.2,1,6,49,0,0,635,2,43.9,63,95.1,604,82,521,76.7,85,3,17.8,113,623,285,4.5,9.9,1.03,2022,30.4,0.15,1.52
George Pickens,99229,WR,PIT,17,15.6,7,61.9,67.9,19,28,0,7.1,4,-0.05,38,25,0,67.8,80.6,68.8,69.3,0.3,2,0,42,0,0,619,3,44.5,52,93.7,580,13.1,81,109.3,84,4,86.6,536,801,110,2.1,15.4,1.38,2022,208.8,0.23,3.16
Darius Slayton,25578,WR,NYG,18,12.4,4,61.4,42.9,9,21,0,13.6,8,0.08,34,21,2,39.1,24.7,66,66.9,0.4,2,3,55,0.2,1,508,1,48.6,51,94.5,480,27.4,139,87.2,83,2,72,366,816,313,6.1,16,1.7,2022,151,0.17,3.02
Robert Woods,7822,WR,TEN,17,8.7,0,64.6,46.7,7,15,0,7,4,-0.06,31,31,0,66.6,57.3,68,66,0.4,2,3,41,0,0,491,1,43.1,53,94.5,464,26.7,131,75.6,82,2,72.1,354,527,160,3,9.9,1.14,2022,89.3,0.13,2.18
Richie James,28991,WR,NYG,17,6.6,2,82.9,58.3,7,12,0,4.2,3,-0.11,34,21,0,80.4,29,72,72.7,0.2,1,0,33,0.5,2,428,2,44.3,68,94.4,404,84.6,362,116,82,4,15,64,651,232,3.4,9.6,1.61,2022,21.4,0.16,2.14
Michael Gallup,26075,WR,DAL,16,12.6,2,55,47.6,10,21,0,8.3,4,0.09,29,9,0,60.5,78.5,62.6,61.9,0,0,5,27,0,0,514,0,49.2,44,95.7,492,8,41,67.2,80,5,92,473,470,120,2.7,10.7,0.96,2022,87.8,0.14,2.58
Demarcus Robinson,10760,WR,BLT,18,10.3,8,64.1,44.4,4,9,0,9.1,5,-0.15,24,3,2,58.1,24.4,65.4,64.8,0,0,4,41,0,0,396,1,40.7,50,95.5,378,7.8,31,74,78,3,92.2,365,507,164,3.3,10.1,1.34,2022,89.4,0.23,3.31
Alec Pierce,78038,WR,IND,16,12.2,3,53.9,42.9,12,28,0,8.9,4,-0.16,28,14,1,51.5,29.9,61.3,61.1,0,0,2,47,0,0,501,1,43.5,41,95.4,478,6.8,34,77.4,76,2,93.2,467,593,111,2.7,14.5,1.24,2022,95.4,0.09,2.98
Chase Claypool,42312,WR,CHI,15,11,3,60.5,47.4,9,19,1,4.2,2,-0.15,24,6,1,77,41.9,61.8,62.7,0.4,2,5,31,0.4,2,454,2,43.2,46,93.2,423,60.6,275,54.2,76,1,39,177,451,142,3.1,9.8,1.07,2022,21.7,0.11,2.71
Noah Brown,11993,WR,DAL,18,11.1,6,63.5,40.9,9,22,0,7.8,4,0.01,27,9,1,63.2,34.5,59.5,61.2,0,0,4,51,1.8,9,512,2,47.2,47,93,476,44.5,228,79.4,74,3,55.5,284,594,160,3.4,12.6,1.25,2022,101.6,0.22,2.99
Chris Moore,10741,WR,HST,16,9.6,10,66.7,42.9,6,14,1,5.9,3,-0.22,24,13,0,70.9,79.5,63.2,64.2,1.1,5,3,52,0.4,2,464,1,35,48,95,441,65.1,302,81.3,72,2,33.8,157,548,267,5.6,11.4,1.24,2022,68.3,0.11,2.85
DeAndre Carter,9859,WR,LAC,18,9.5,1,71.6,30,3,10,0,4,2,-0.02,30,27,1,77.9,51.8,61.6,63.9,0.4,2,1,35,0.6,3,534,0,44.6,48,96.3,514,58.4,312,105,67,3,40.4,216,555,211,4.4,11.6,1.08,2022,9.7,0.1,1.39
Christian Watson,66581,WR,GB,14,14.3,4,63.1,75,9,12,0,10.9,5,0.06,28,12,0,50.7,80.1,77.1,77.8,1.1,3,1,63,0,0,282,0,49.3,41,95.7,270,31.6,89,123.3,65,7,67,189,611,264,6.4,14.9,2.26,2022,101.3,0.23,3.17
Greg Dortch,42237,WR,ARZ,16,4.6,13,81.3,36.4,4,11,1,0,0,-0.03,19,1,0,90.5,88.4,64.2,67.6,0,0,0,47,0,0,366,3,42.2,52,94.5,346,82.8,303,107.2,64,2,15.8,58,462,309,5.9,8.9,1.34,2022,64.5,0.16,2.58
Romeo Doubs,84329,WR,GB,13,9.8,1,65.6,33.3,5,15,0,10.6,5,-0.15,20,12,2,51.5,23.5,62.6,62,0,0,0,26,0,0,331,0,43.6,42,94.3,312,22.4,74,100.1,64,3,77.6,257,425,194,4.6,10.1,1.36,2022,174.4,0.21,2.96
Isaiah McKenzie,11927,WR,BUF,16,7.9,7,68.8,44.4,4,9,0,10.2,5,0.23,27,4,0,53,81.8,66,65.9,0,0,2,30,0,0,417,0,53.2,44,94.7,395,80.3,335,95.4,64,4,19.4,81,433,145,3.3,9.8,1.1,2022,20.6,0.18,1.47
Nico Collins,61441,WR,HST,10,12.8,3,57.8,75,12,16,0,0,0,-0.1,21,13,0,90,77.6,72.4,72,0,0,1,58,0,0,305,1,42,37,93.8,286,9.8,30,85.5,64,2,90.2,275,481,144,3.9,13,1.68,2022,258.4,0.39,3.19
Kalif Raymond,11028,WR,DET,17,10,2,75.8,42.9,3,7,0,0,0,0.03,24,11,1,90.3,40.8,72.1,72.7,0.6,2,0,56,0.6,2,346,0,47.1,47,93.1,322,46,159,106.7,62,0,52.3,181,616,227,4.8,13.1,1.91,2022,97.4,0.28,2.32
Olamide Zaccheaus,44920,WR,ATL,17,11.8,6,65.6,40,2,5,1,2.4,1,-0.09,25,2,1,82.3,30,64.6,67.4,0,0,0,45,0.8,3,386,3,43.8,40,93.8,362,60.9,235,109.5,61,3,38.9,150,533,202,5.1,13.3,1.47,2022,38.4,0.08,3.84
Jauan Jennings,48027,WR,SF,19,9.7,6,65,50,3,6,1,9.3,4,0.11,27,28,1,52.8,29.6,68.1,68.6,0,0,3,44,0.8,3,373,3,45.8,39,94.1,351,54.2,202,74.5,60,1,45.8,171,483,185,4.7,12.4,1.38,2022,51.5,0.14,2.71
Elijah Moore,84302,WR,NYJ,16,12.6,11,62.7,16.7,1,6,1,0,0,-0.19,22,22,1,90,78.7,57.5,58.1,0.2,1,1,42,0,0,514,2,37.6,37,96.3,495,49.6,255,84.4,59,1,50.2,258,446,96,2.6,12.1,0.9,2022,136.1,0.15,2
Darnell Mooney,48236,WR,CHI,12,12.6,3,69,83.3,5,6,0,2.4,1,-0.02,20,6,0,82.2,78.2,69.2,68.9,0,0,2,56,0.6,2,337,0,41.6,40,92.6,312,60.5,204,92.1,58,2,38,128,493,170,4.3,12.3,1.58,2022,78.9,0.1,2.39
Ben Skowronek,27948,WR,LA,14,8,2,67.2,40,2,5,0,2.5,1,-0.12,16,26,0,81.8,78.1,57.2,56.4,1.6,7,2,32,5.4,24,444,2,43.5,39,92.6,411,43.9,195,70.8,58,0,50,222,376,143,3.7,9.6,0.91,2022,21.5,0.1,2.15
Isaiah Hodgins,52130,WR,NYG,12,9.2,4,82.1,63.6,7,11,0,0,0,0.03,28,21,1,90.4,36,76.9,76.1,0,0,1,32,0,0,355,0,49.4,46,95.2,338,17.7,63,126.2,56,5,82.3,292,500,131,2.8,10.9,1.48,2022,62,0.12,2.95
Jahan Dotson,84375,WR,WAS,12,15.4,2,62.5,61.1,11,18,0,7.9,3,-0.03,26,32,0,63.4,78,70.5,74,0,0,4,61,0,0,403,3,44.4,35,93.3,376,26.3,106,102.9,56,7,73.7,297,523,144,4.1,14.9,1.39,2022,124.8,0.14,2.55
Josh Reynolds,11872,WR,DET,14,13.2,1,67.9,66.7,6,9,2,5,2,0.17,25,11,0,73.2,77.9,64.1,64.2,0,0,1,31,0.5,2,405,2,49.2,38,94.8,384,36.5,148,104.7,56,3,63.5,257,479,117,3.1,12.6,1.25,2022,130.8,0.16,3.27
Rondale Moore,62890,WR,ARZ,8,5.2,7,74.5,20,1,5,1,8.9,4,-0.02,16,1,0,60.4,79.3,63.4,63.6,0,0,0,38,0,0,301,1,44.1,41,93.4,281,56.8,171,101.6,55,1,40.9,123,414,291,7.1,10.1,1.47,2022,105,0.14,1.54
Julio Jones,6158,WR,TB,11,13.9,2,58.5,45.5,5,11,0,0,0,-0.06,16,30,0,88.3,78,66,65.3,0,0,0,48,0,0,301,0,47.9,31,93,280,26.9,81,99,53,3,73.1,220,373,141,4.5,12,1.33,2022,36.4,0.16,3.31
Treylon Burks,99218,WR,TEN,11,12.4,4,62.3,58.3,7,12,1,2.9,1,0,19,31,0,79.6,78.1,74.1,73.9,0.4,1,4,51,0,0,265,5,46.5,33,95.8,254,20.8,55,70,53,2,78.9,209,444,177,5.4,13.5,1.75,2022,39.9,0.09,1.9
Quez Watkins,61664,WR,PHI,20,11.2,4,64.2,9.1,1,11,0,2.9,1,0.02,13,24,1,70.8,30.7,52.7,54.2,0,0,3,53,0.2,1,477,1,44.6,34,94.8,452,75.5,360,79.3,53,3,24.5,117,362,157,4.6,10.6,0.8,2022,35.2,0.12,2.35
Allen Robinson II,8696,WR,LA,10,10.1,2,64.7,53.3,8,15,0,5.7,2,-0.05,23,26,0,69.5,77,65.8,64.8,0,0,1,29,0.5,2,375,1,48.1,33,97.1,364,33.6,126,95.1,51,3,66.4,249,339,71,2.2,10.3,0.93,2022,62,0.08,1.82
DJ Chark,47702,WR,DET,11,15.9,3,58.8,50,8,16,0,9.1,3,0.16,24,11,0,57.8,76.5,69.6,69.6,0,0,1,51,0,0,351,0,47.2,30,97.2,341,25.4,89,103.6,51,3,74.6,262,502,138,4.6,16.7,1.47,2022,117.5,0.15,3.36
Trent Sherfield,48021,WR,MIA,18,11.9,1,60,62.5,5,8,0,3.2,1,0.03,18,17,0,78.4,76.8,61.5,59.4,0,0,3,75,0.2,1,461,3,44.4,30,95,438,51,235,75.2,50,2,48.6,224,417,142,4.7,13.9,0.95,2022,25.6,0.07,2.33
Nelson Agholor,9453,WR,NE,16,12.1,4,62,28.6,2,7,0,11.4,4,-0.22,12,19,2,49.8,20.6,56.4,57.7,0,0,3,44,1.3,4,313,0,38,31,94.2,295,30,94,72.3,50,2,69.6,218,362,145,4.7,11.7,1.23,2022,97.1,0.17,2.77
Hunter Renfrow,47509,WR,LV,10,6.5,7,73.5,75,3,4,0,0,0,0.02,18,23,3,90,21.4,65.6,64.8,0,0,4,27,0,0,308,0,43.8,36,94.8,292,86,265,71,49,2,13.6,42,330,161,4.5,9.2,1.13,2022,50.5,0.14,2.02
Randall Cobb,6216,WR,GB,13,10.2,4,70.8,25,2,8,0,5.6,2,-0.13,19,12,1,70.1,79.1,70.1,71.3,0,0,1,40,0.4,1,261,0,42.4,34,95.4,249,80.1,209,95.6,48,1,18.8,49,417,182,5.4,12.3,1.67,2022,14.9,0.07,2.98
Kendrick Bourne,12270,WR,NE,16,10.6,3,74.5,40,2,5,1,7.9,3,-0.05,22,19,2,64.1,23.4,63.6,67.8,0,0,2,41,0,0,310,4,42.2,35,95.5,296,27.1,84,92,47,1,72.9,226,434,144,4.1,12.4,1.47,2022,102,0.27,2.68
Devin Duvernay,40006,WR,BLT,14,10,2,78.7,60,3,5,0,2.6,1,0,19,3,0,80.8,89.5,67.2,66.2,0.3,1,1,31,0,0,374,0,44.6,37,94.1,352,33.4,125,115.2,47,3,66.3,248,407,160,4.3,11,1.16,2022,7.3,0.05,0.91
Terrace Marshall,84271,WR,CAR,14,12.7,4,59.6,36.8,7,19,0,6.7,2,-0.03,23,5,2,65.8,26.7,67.7,66.7,0.3,1,0,43,0,0,344,0,41.1,28,94.8,326,9,31,102.3,47,1,90.7,312,490,143,5.1,17.5,1.5,2022,32.9,0.1,1.73
DeVante Parker,9447,WR,NE,13,16.8,2,66,52.6,10,19,0,0,0,0.02,25,19,0,88,76.6,74.1,74,0,0,4,43,0.3,1,339,1,46.7,31,93.2,316,8.6,29,90.6,47,3,91.4,310,539,105,3.4,17.4,1.71,2022,72.4,0.13,2.19
Nick Westbrook-Ikhine,47861,WR,TEN,17,13.7,2,55.6,30,6,20,0,10.7,3,-0.1,18,31,0,55.1,75.9,59.8,57.9,0,0,2,63,0.2,1,443,2,42.6,25,94.6,419,55.3,245,88.8,45,3,44.5,197,397,108,4.3,15.9,0.95,2022,83,0.14,2.96
Van Jefferson,47447,WR,LA,11,16.6,1,54.5,37.5,3,8,0,4,1,-0.12,20,26,0,74.9,75.7,68.4,67.7,0.3,1,3,39,0,0,310,0,40.5,24,96.5,299,29,90,76.8,44,3,70.6,219,369,34,1.4,15.4,1.23,2022,41.3,0.07,1.97
Tyquan Thornton,78092,WR,NE,13,14.9,1,51.2,20,1,5,0,12,3,-0.14,13,19,0,49.5,75.9,55.2,54.3,0,0,2,29,0,0,348,0,37.1,22,93.7,326,24.1,84,64.8,43,2,75.9,264,247,66,3,11.2,0.76,2022,27.2,0.12,1.7
