player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,year,AVG,fantasyPts,ptsPerSnap,ptsPerTouch
Calvin Ridley,48262,WR,ATL,13,13.9,4,69.2,50.0,11,22,1,4.5,3,0.2,47,2,0,78.4,47.0,74.9,,74.8,0.0,0,2,36,0.0,0,555,4,50.1,63,92.1,511,11.7,65,115.9,91,7,87.9,488,866,141,2.2,13.7,1.69,2019,40.2,282.1,0.34,3.0
Marvin Jones,7158,WR,DET,13,13.7,6,68.9,64.5,20,31,1,4.6,3,0.16,41,11,0,77.7,80.6,72.9,,74.6,0.5,3,5,47,0.0,0,546,3,47.2,62,93.2,509,34.2,187,105.7,90,9,65.0,355,779,112,1.8,12.6,1.53,2019,81.7,227.8,0.24,3.0
Chris Conley,9509,WR,JAX,16,14.6,8,53.4,33.3,7,21,0,13.0,7,-0.03,36,15,0,43.8,79.2,62.7,67.9,62.0,0.2,1,0,70,0.3,2,629,2,41.5,47,92.8,584,11.6,73,102.2,88,5,88.2,555,775,247,5.3,16.5,1.33,2019,240.0,99.1,0.23,2.48
Diontae Johnson,33441,WR,PIT,16,9.5,18,68.6,33.3,2,6,0,4.8,3,-0.09,31,25,3,76.6,23.1,67.9,,68.8,0.0,0,2,45,0.0,0,453,7,41.7,59,93.2,422,12.6,57,101.9,86,5,87.4,396,680,311,5.3,11.5,1.61,2019,83.6,223.8,0.31,2.46
Mike Williams,11762,WR,LAC,15,18.3,3,57.6,54.5,18,33,0,10.9,6,0.06,41,27,0,37.7,79.4,74.1,64.5,74.6,0.0,0,8,56,0.2,1,567,2,49.0,49,92.6,525,36.3,206,67.8,85,2,63.7,361,1001,200,4.1,20.4,1.91,2019,142.7,153.7,0.19,3.14
Sterling Shepard,10674,WR,NYG,10,10.2,7,68.7,42.1,8,19,1,5.0,3,0.06,29,21,0,75.9,81.1,75.8,67.1,73.8,1.0,4,4,36,0.2,1,417,2,45.5,57,93.5,390,46.8,195,80.2,83,3,52.0,217,576,184,3.2,10.1,1.48,2019,113.2,160.5,0.29,2.23
Golden Tate,5585,WR,NYG,11,10.8,6,60.5,51.4,19,37,0,5.8,3,-0.12,30,21,1,72.5,84.0,74.0,,72.7,0.2,1,5,64,0.0,0,453,1,40.9,49,93.4,423,84.3,382,86.2,81,6,15.5,70,676,291,5.9,13.8,1.6,2019,141.7,85.8,0.2,2.45
Anthony Miller,48160,WR,CHI,16,10.2,2,64.2,35.7,5,14,2,7.1,4,0.01,34,6,0,66.1,40.7,66.0,,67.9,2.2,11,2,35,0.0,0,493,5,45.6,52,94.7,467,77.7,383,87.3,81,2,19.9,98,656,225,4.3,12.6,1.4,2019,127.1,110.7,0.19,2.17
Darius Slayton,25578,WR,NYG,14,14.4,5,60.0,48.0,12,25,0,5.9,3,-0.06,32,21,0,70.9,81.4,70.3,,70.5,0.0,0,4,55,0.0,0,503,2,42.5,48,93.6,471,4.4,22,103.1,80,8,95.6,481,740,199,4.1,15.4,1.57,2019,101.2,143.0,0.16,2.75
Corey Davis,11760,WR,TEN,18,12.9,7,61.3,58.8,10,17,1,5.8,3,0.15,37,31,1,72.4,37.4,70.4,68.1,70.6,0.8,4,1,38,0.2,1,505,4,47.7,49,93.1,470,26.9,136,95.3,80,3,72.3,365,669,239,4.9,13.7,1.42,2019,217.7,193.4,0.27,2.98
