"Rank","Player","Team","Bye","POS","ESPN","Sleeper","CBS","NFL","RTSports","Fantrax","Underdog","AVG"
"352","Ralph Webb","","","RB103","","278","","","","","","278.0"
"353","Mike Boone","","","RB104","","","","","","278","","278.0"
"354","Taylor Russolino","","","K35","","279","","","","","","279.0"
"355","Quez Watkins","PHI","14","WR106","","","","","301","281","","291.0"
"356","Detroit Lions","DST","9","DST28","","","","279","","363","","321.0"
"357","Brandon Wilds","","","RB105","","280","","","","","","280.0"
"358","Chris Evans","","","RB106","","","","","280","314","","297.0"
"359","Daniel Crawford","","","TE44","","281","","","","","","281.0"
"360","Tyler Conklin","DET","9","TE45","","","","","281","398","","339.5"
"361","Josh Reynolds","","","WR107","","","","","282","323","","302.5"
"362","Atlanta Falcons","DST","6","DST29","","","","282","","346","","314.0"
"363","Randy Bullock","","","K36","","","","283","","370","","326.5"
"364","Dyami Brown","WAS","9","WR108","","","","","288","320","171.7","259.9"
"365","Scotty Miller","CHI","10","WR109","","","","298","","294","","296.0"
"366","Adrian Peterson ","","","RB107","","","","289","","410","","349.5"
"367","Cincinnati Bengals","DST","10","DST30","","","","290","","","","290.0"
"368","C.J. Uzomah","","","TE46","","","","","290","326","","308.0"
"369","Mo Alie-Cox","IND","14","TE47","","","","","","291","","291.0"
"370","Kendrick Bourne","ARI","12","WR110","","","","","291","350","","320.5"
"371","Houston Texans","DST","10","DST31","","","","291","","361","","326.0"
"372","Trace McSorley","","","QB40","","","","292","","","","292.0"
"373","New York Jets","DST","6","DST32","","","","294","","339","","316.5"
"374","Drew Lock","SEA","9","QB41","","","","","","296","","296.0"
"375","Rashard Higgins","","","WR111","","","","296","","331","","313.5"
"376","Jalen Richard","","","RB108","","","","","","297","","297.0"
"377","Eno Benjamin","","","RB109","","","","","","299","","299.0"
"378","Cody Parkey","","","K37","","","","299","","333","","316.0"
"379","Jack Doyle","","","TE48","","","","","299","390","","344.5"
"380","Travis Fulgham","","","WR112","","","","","","302","","302.0"
"381","Olamide Zaccheaus","ATL","6","WR113","","","","","","307","","307.0"
"382","Quintez Cephus ","","","WR114","","","","","","308","","308.0"
"383","Adam Humphries","","","WR115","","","","","","309","","309.0"
"384","Dee Eskridge","","","WR116","","","","","","311","","311.0"
"385","Ke'Shawn Vaughn","","","RB110","","","","","","313","","313.0"
"386","Tim Patrick","NYJ","6","WR117","","","","","","317","","317.0"
"387","Kalen Ballage","","","RB111","","","","","","318","","318.0"
"388","Chris Conley","","","WR118","","","","","","319","","319.0"
"389","De'Angelo Henderson Sr.","","","RB112","","","","","","322","","322.0"
"390","Deonte Harty","","","WR119","","","","","","325","","325.0"
"391","David Moore","CAR","13","WR120","","","","","","329","","329.0"
"392","Kerryon Johnson","","","RB113","","","","","","334","","334.0"
"393","D'Onta Foreman","","","RB114","","","","","","335","","335.0"
"394","Ito Smith","","","RB115","","","","","","337","","337.0"
"395","Zach Pascal","","","WR121","","","","","","341","","341.0"
"396","Ameer Abdullah","JAC","7","RB116","","","","","","343","","343.0"
"397","Devin Funchess","","","WR122","","","","","","349","","349.0"
"398","Keelan Cole Sr.","","","WR123","","","","","","351","","351.0"
"399","Marquise Goodwin","","","WR124","","","","","","352","","352.0"
"400","Jonathan Williams","","","RB117","","","","","","353","","353.0"
"401","Terry Godwin","","","WR125","","","","","","354","","354.0"
"402","Stephen Anderson","","","TE49","","","","","","355","","355.0"
"403","Case Cookus","","","QB42","","","","","","358","","358.0"
"404","Marcus Mariota","WAS","9","QB43","","","","","","359","","359.0"
"405","Matt Breida","","","RB118","","","","","","360","","360.0"
"406","Tylan Wallace","CLE","13","WR126","","","","","","362","","362.0"
"407","Antonio Gandy-Golden","","","WR127","","","","","","365","","365.0"
"408","James Washington","","","WR128","","","","","","366","","366.0"
"409","N'Keal Harry","","","WR129","","","","","","368","","368.0"
"410","Tucker McCann","","","K38","","","","","","369","","369.0"
"411","Tutu Atwell","MIA","14 ","WR130","","","","","","371","","371.0"
"412","Preston Williams","","","WR131","","","","","","372","","372.0"
"413","Jalen Guyton","","","WR132","","","","","","373","","373.0"
"414","Mohamed Sanu Sr.","","","WR133","","","","","","374","","374.0"
"415","Cam Sims","","","WR134","","","","","","375","","375.0"
"416","Shi Smith","","","WR135","","","","","","376","","376.0"
"417","Damiere Byrd","","","WR136","","","","","","377","","377.0"
"418","Mitchell Trubisky","TEN","13","QB44","","","","","","378","","378.0"
"419","Albert Wilson","","","WR137","","","","","","379","","379.0"
"420","Sam Ehlinger","DEN","11","QB45","","","","","","380","","380.0"
"421","Anthony Schwartz","","","WR138","","","","","","381","","381.0"
"422","Antonio Williams","","","RB119","","","","","","384","","384.0"
"423","Tyler Johnson","DAL","7","WR139","","","","","","385","","385.0"
"424","Antonio Callaway","","","WR140","","","","","","386","","386.0"
"425","Dez Fitzpatrick","","","WR141","","","","","","387","","387.0"
"426","Jordan Love","GB","13","QB46","","","","","","388","","388.0"
"427","Foster Moreau","HOU","10","TE50","","","","","","389","","389.0"
"428","Ty Montgomery","II","","RB120","","","","","","391","","391.0"
"429","James O'Shaughnessy","","","TE51","","","","","","392","","392.0"
"430","Tyron Billy-Johnson","","","WR142","","","","","","393","","393.0"
"431","Matt Ammendola","","","K39","","","","","","394","","394.0"
"432","Jacob Eason","","","QB47","","","","","","395","","395.0"
"433","Jermar Jefferson","","","RB121","","","","","","396","","396.0"
"434","Jaylen Samuels","","","RB122","","","","","","397","","397.0"
"435","Colin Kaepernick","","","QB48","","","","","","399","","399.0"
"436","Ryan Santoso","","","K40","","","","","","400","","400.0"
"437","Johnny Manziel","","","QB49","","","","","","401","","401.0"
"438","Albert Okwuegbunam Jr.","LV","8","TE52","","","","","","402","","402.0"
"439","Ray Rice","","","RB123","","","","","","403","","403.0"
"440","Kylin Hill ","","","RB124","","","","","","404","","404.0"
"441","Greg Ward","","","WR143","","","","","","405","","405.0"
"442","Easop Winston Jr.","","","WR144","","","","","","406","","406.0"
"443","Michael Strachan","","","WR145","","","","","","407","","407.0"
"444","Devin Smith","","","WR146","","","","","","408","","408.0"
"445","Riley Ridley","","","WR147","","","","","","409","","409.0"
"446","Aldrick Rosas","","","K41","","","","","","411","","411.0"
"447","Dazz Newsome","","","WR148","","","","","","412","","412.0"
"448","Jody Fortson Jr. ","","","TE53","","","","","","413","","413.0"
"449","Dede Westbrook","","","WR149","","","","","","414","","414.0"
"450","Tony Romo","","","QB50","","","","","","415","","415.0"
"451","Andy Isabella","","","WR150","","","","","","416","","416.0"
"452","Zay Jones","","","WR151","","","","","","417","","417.0"
"453","DeeJay Dallas","JAC","7","RB125","","","","","","418","","418.0"
"454","Corey Clement","","","RB126","","","","","","419","","419.0"
"455","Demetric Felton Jr.","","","RB127","","","","","","420","","420.0"
"456","Will Dissly","","","TE54","","","","","","421","","421.0"
"457","Tom Kennedy","DET","9","WR152","","","","","","422","","422.0"
"458","Kylen Granson","TEN","13","TE55","","","","","","423","","423.0"
"459","Devin Duvernay","ARI","12","WR153","","","","","","424","","424.0"
"460","Noah Gray","KC","12","TE56","","","","","","425","","425.0"
"461","Gerrid Doaks","","","RB128","","","","","","426","","426.0"
"462","Simi Fehoko","ARI","12","WR154","","","","","","427","","427.0"
"463","Damoun Patterson","","","WR155","","","","","","428","","428.0"
"464","Charlie Woerner","ATL","6","TE57","","","","","","429","","429.0"
"465","Greg Joseph","","","K42","","","","","","430","","430.0"
"466","Pharoh Cooper","","","WR156","","","","","","431","","431.0"
"467","Kyle Rudolph","","","TE58","","","","","","432","","432.0"
"468","Jeremy McNichols","WAS","9","RB129","","","","","","433","","433.0"
"469","Brandon Dillon","","","TE59","","","","","","434","","434.0"
"470","Chad Beebe","","","WR157","","","","","","436","","436.0"
"471","Taylor Heinicke","","","QB51","","","","","","437","","437.0"
"472","Trent Sherfield Sr.","BUF","7","WR158","","","","","","438","","438.0"
"473","Davis Mills","HOU","10","QB52","","","","","","439","","439.0"
"474","Durham Smythe","BAL","8","TE60","","","","","","440","","440.0"
"475","Chad Henne","","","QB53","","","","","","441","","441.0"
"476","Eddy Pineiro","SF","6","K43","","","","","","442","","442.0"
"477","John Wolford","","","QB54","","","","","","443","","443.0"
"478","Mike Glennon","","","QB55","","","","","","444","","444.0"
"479","Rex Burkhead","","","RB130","","","","","","445","","445.0"
"480","Willie Snead","IV","","WR159","","","","","","446","","446.0"
"481","Drew Sample","CIN","10","TE61","","","","","","447","","447.0"
"482","Joe Flacco","CIN","10","QB56","","","","","","448","","448.0"
"483","Jacoby Brissett","ARI","12","QB57","","","","","","449","","449.0"
"484","Cornell Powell","","","WR160","","","","","","450","","450.0"
"485","Harrison Bryant","SEA","9","TE62","","","","","","451","","451.0"
"486","Gardner Minshew II","ARI","12","QB58","","","","","","452","","452.0"
"487","Jacob Hollister","","","TE63","","","","","","453","","453.0"
