"Player","Team","Pos","Pos Rank","Rank","ADP","2022 Finish","Rank vs. ADP"
"Greg Dulcich","DEN","TE","25","178","169","185","-9"
"Michael Mayer","LV","TE","26","179","206","","27"
"C.J. Stroud","HOU","QB","25","180","209","","29"
"Bryce Young","CAR","QB","26","181","182","","1"
"Ryan Tannehill","TEN","QB","27","182","200","250","18"
"Sam Howell","WAS","QB","28","183","164","300","-19"
"Alec Pierce","IND","WR","72","184","163","194","-21"
"Darnell Mooney","CHI","WR","73","185","133","171","-52"
"Chase Claypool","CHI","WR","74","186","213","170","27"
"Jalin Hyatt","NYG","WR","75","187","158","","-29"
"Hunter Renfrow","LV","WR","76","188","191","183","3"
"Jerome Ford","CLE","RB","59","189","196","300","7"
"Gus Edwards","BAL","RB","60","190","188","163","-2"
"Joshua Kelley","LAC","RB","61","191","218","244","27"
"Matt Breida","NYG","RB","62","192","274","","82"
"Rico Dowdle","DAL","RB","63","193","236","","43"
"Desmond Ridder","ATL","QB","29","194","207","300","13"
"Rondale Moore","ARI","WR","77","195","166","99","-29"
"Rashee Rice","KC","WR","78","196","138","","-58"
"Josh Reynolds","DET","WR","79","197","238","122","41"
"K.J. Osborn","MIN","WR","80","198","154","109","-44"
"Robert Woods","HOU","WR","81","199","222","241","23"
"Rashid Shaheed","NO","WR","82","200","177","150","-23"
"Deonte Harty","BUF","WR","83","201","228","300","27"
"Zack Moss","IND","RB","64","202","208","","6"
"Keaontay Ingram","ARI","RB","65","203","232","300","29"
"Kendre Miller","NO","RB","66","204","167","","-37"
"Kyren Williams","LAR","RB","67","205","211","","6"
"Kyler Murray","ARI","QB","30","206","192","87","-14"
"Jimmy Garoppolo","LV","QB","31","207","204","233","-3"
"Mack Hollins","ATL","WR","84","208","223","135","15"
"Joshua Palmer","LAC","WR","85","209","203","127","-6"
"Mecole Hardman","NYJ","WR","86","210","205","70","-5"
"Allen Robinson","PIT","WR","87","211","227","159","16"
"Kendrick Bourne","NE","WR","88","212","237","","25"
"Cade Otton","TB","TE","27","213","216","236","3"
"Irv Smith","CIN","TE","28","214","174","270","-40"
"Taysom Hill","NO","TE","29","215","179","113","-36"
"Richie James","KC","WR","89","216","212","140","-4"
"Michael Wilson","ARI","WR","90","217","193","","-24"
"Randall Cobb","NYJ","WR","91","218","239","","21"
"Baker Mayfield","TB","QB","32","219","219","300","0"
"Evan Hull","IND","RB","68","220","201","","-19"
"Trayveon Williams","CIN","RB","69","221","284","300","63"
"Salvon Ahmed","MIA","RB","71","222","271","","49"
"Jordan Mason","SF","RB","70","222","268","300","46"
"Isaiah Spiller","LAC","RB","72","223","251","300","28"
"Latavius Murray","BUF","RB","73","224","249","83","25"
"Justice Hill","BAL","RB","74","225","256","","31"
"Chris Evans","CIN","RB","75","226","241","","15"
"Cole Turner","WAS","TE","30","227","235","","8"
"Mike Gesicki","NE","TE","31","228","231","190","3"
"Trey McBride","ARI","TE","32","229","233","212","4"
"Isaiah Likely","BAL","TE","33","230","210","197","-20"
"Noah Gray","KC","TE","34","231","275","300","44"
"Noah Fant","SEA","TE","35","232","226","249","-6"
"Jelani Woods","IND","TE","36","233","263","200","30"
"Zach Ertz","ARI","TE","37","234","225","141","-9"
"Justyn Ross","KC","WR","92","235","189","","-46"
"Parris Campbell","NYG","WR","93","236","198","153","-38"
"Trey Palmer","TB","WR","94","237","240","","3"
"Tutu Atwell","LAR","WR","95","238","242","253","4"
"Marvin Jones","DET","WR","96","239","246","223","7"
"Kalif Raymond","DET","WR","97","240","282","","42"
"Quez Watkins","PHI","WR","98","241","248","252","7"
"Tank Dell","HOU","WR","99","242","176","","-66"
"John Metchie","HOU","WR","100","243","221","","-22"
"Myles Gaskin","MIN","RB","76","244","247","","3"
"Cordarrelle Patterson","ATL","RB","77","245","230","300","-15"
"Sean Tucker","TB","RB","78","246","217","","-29"
"Jauan Jennings","SF","WR","101","247","261","293","14"
"Puka Nacua","LAR","WR","102","248","224","","-24"
"Tyquan Thornton","NE","WR","103","249","262","175","13"
"Ke'Shawn Vaughn","TB","RB","79","250","404","300","154"
